# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTimeMaxNs,1757826875721000000,1757826935721000000,394264575
NonBlockingReadAction.failedExecutionsCount,1757826875721000000,1757826935721000000,0
FlushQueue.executionTimeAvgNs,1757826875721000000,1757826935721000000,167301.0471367355
FlushQueue.queueSizeMax,1757826875721000000,1757826935721000000,6
FlushQueue.executionTime90PNs,1757826875721000000,1757826935721000000,337919
AWTEventQueue.dispatchTimeMaxNs,1757826875721000000,1757826935721000000,427819007
NonBlockingReadAction.finalizedExecutionsCount,1757826875721000000,1757826935721000000,2146
NonBlockingReadAction.failedExecutionTimeUs,1757826875721000000,1757826935721000000,0
AWTEventQueue.eventsDispatched,1757826875721000000,1757826935721000000,8158
FlushQueue.executionTimeMaxNs,1757826875721000000,1757826935721000000,44564479
FlushQueue.waitingTimeAvgNs,1757826875721000000,1757826935721000000,994737.7686014803
StorageLockContext.competingThreads.90P,1757826875721000000,1757826935721000000,0
FilePageCache.capacityInBytes,1757826875721000000,1757826935721000000,524288000
FilePageCache.disposedBuffers,1757826875721000000,1757826935721000000,0
DirectByteBufferAllocator.reclaimed,1757826875721000000,1757826935721000000,0
DirectByteBufferAllocator.hits,1757826875721000000,1757826935721000000,0
FilePageCache.maxCacheSizeInBytes,1757826875721000000,1757826935721000000,308936704
FilePageCache.maxRegisteredFiles,1757826875721000000,1757826935721000000,938
StorageLockContext.competingThreads.avg,1757826875721000000,1757826935721000000,0.058823529411764705
DirectByteBufferAllocator.disposed,1757826875721000000,1757826935721000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826875721000000,1757826935721000000,0
FilePageCache.pageLoads,1757826875721000000,1757826935721000000,11
FilePageCache.pageFastCacheHits,1757826875721000000,1757826935721000000,270341
FilePageCache.uncachedFileAccess,1757826875721000000,1757826935721000000,3
FilePageCache.totalPageDisposalsUs,1757826875721000000,1757826935721000000,1126
StorageLockContext.competingThreads.max,1757826875721000000,1757826935721000000,4
FilePageCache.totalPageLoadsUs,1757826875721000000,1757826935721000000,84700
DirectByteBufferAllocator.misses,1757826875721000000,1757826935721000000,11
FilePageCache.pageLoadsAboveSizeThreshold,1757826875721000000,1757826935721000000,0
FilePageCache.pageHits,1757826875721000000,1757826935721000000,92
FileNameCache.totalMisses,1757826935721000000,1757826995720000000,8
FileNameCache.queries,1757826935721000000,1757826995720000000,209910
FileNameCache.fastMisses,1757826935721000000,1757826995720000000,1446
AWTEventQueue.dispatchTimeAvgNs,1757826935721000000,1757826995720000000,624379.7465630603
FlushQueue.tasksExecuted,1757826935721000000,1757826995720000000,1360
FlushQueue.queueSizeAvg,1757826935721000000,1757826995720000000,2.7279411764705883
FlushQueue.waitingTime90PNs,1757826935721000000,1757826995720000000,1974271
AWTEventQueue.dispatchTime90PNs,1757826935721000000,1757826995720000000,843775
FlushQueue.queueSize90P,1757826935721000000,1757826995720000000,12
NonBlockingReadAction.finalizedExecutionTimeUs,1757826935721000000,1757826995720000000,7767629
FlushQueue.waitingTimeMaxNs,1757826935721000000,1757826995720000000,144703487
NonBlockingReadAction.failedExecutionsCount,1757826935721000000,1757826995720000000,0
FlushQueue.executionTimeAvgNs,1757826935721000000,1757826995720000000,317856.6772058823
FlushQueue.queueSizeMax,1757826935721000000,1757826995720000000,31
FlushQueue.executionTime90PNs,1757826935721000000,1757826995720000000,434175
AWTEventQueue.dispatchTimeMaxNs,1757826935721000000,1757826995720000000,578813951
NonBlockingReadAction.finalizedExecutionsCount,1757826935721000000,1757826995720000000,504
NonBlockingReadAction.failedExecutionTimeUs,1757826935721000000,1757826995720000000,0
AWTEventQueue.eventsDispatched,1757826935721000000,1757826995720000000,6692
FlushQueue.executionTimeMaxNs,1757826935721000000,1757826995720000000,27525119
FlushQueue.waitingTimeAvgNs,1757826935721000000,1757826995720000000,2892096.7470588237
StorageLockContext.competingThreads.90P,1757826935721000000,1757826995720000000,1
FilePageCache.capacityInBytes,1757826935721000000,1757826995720000000,524288000
FilePageCache.disposedBuffers,1757826935721000000,1757826995720000000,0
DirectByteBufferAllocator.reclaimed,1757826935721000000,1757826995720000000,0
DirectByteBufferAllocator.hits,1757826935721000000,1757826995720000000,0
FilePageCache.maxCacheSizeInBytes,1757826935721000000,1757826995720000000,339501056
FilePageCache.maxRegisteredFiles,1757826935721000000,1757826995720000000,938
StorageLockContext.competingThreads.avg,1757826935721000000,1757826995720000000,0.1694915254237288
DirectByteBufferAllocator.disposed,1757826935721000000,1757826995720000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826935721000000,1757826995720000000,0
FilePageCache.pageLoads,1757826935721000000,1757826995720000000,48
FilePageCache.pageFastCacheHits,1757826935721000000,1757826995720000000,243525
FilePageCache.uncachedFileAccess,1757826935721000000,1757826995720000000,82
FilePageCache.totalPageDisposalsUs,1757826935721000000,1757826995720000000,404
StorageLockContext.competingThreads.max,1757826935721000000,1757826995720000000,1
FilePageCache.totalPageLoadsUs,1757826935721000000,1757826995720000000,262199
DirectByteBufferAllocator.misses,1757826935721000000,1757826995720000000,48
FilePageCache.pageLoadsAboveSizeThreshold,1757826935721000000,1757826995720000000,0
FilePageCache.pageHits,1757826935721000000,1757826995720000000,50
FileNameCache.totalMisses,1757826995720000000,1757827055721000000,0
FileNameCache.queries,1757826995720000000,1757827055721000000,402943
FileNameCache.fastMisses,1757826995720000000,1757827055721000000,3167
AWTEventQueue.dispatchTimeAvgNs,1757826995720000000,1757827055721000000,0.0
FlushQueue.tasksExecuted,1757826995720000000,1757827055721000000,0
FlushQueue.queueSizeAvg,1757826995720000000,1757827055721000000,0.0
FlushQueue.waitingTime90PNs,1757826995720000000,1757827055721000000,0
AWTEventQueue.dispatchTime90PNs,1757826995720000000,1757827055721000000,0
